# x; y; z; I; u; delta_u; U_prime
322.5;-299.7;18.16;10.14;5.14;1.18;0.52
322.5;-298.7;18.21;10.14;5.14;1.4;0.52
322.5;-297.7;18.26;10.14;5.14;1.62;0.52
322.5;-296.69;18.31;10.14;5.14;1.62;0.52
322.5;-295.69;18.37;10.14;5.14;1.62;0.52
322.5;-294.69;18.42;10.14;5.14;1.62;0.52
322.5;-293.69;18.47;10.14;5.14;1.62;0.52
322.5;-292.69;18.52;10.14;5.14;1.62;0.52
322.5;-291.69;18.58;10.12;5.32;1.62;0.54
322.5;-290.69;18.63;10.09;5.51;1.84;0.56
322.5;-289.69;18.68;10.09;5.51;2.06;0.56
322.5;-288.69;18.73;10.09;5.51;2.08;0.56
322.5;-287.69;18.79;10.09;5.51;2.09;0.56
322.5;-286.69;18.84;10.09;5.51;2.09;0.56
322.5;-285.68;18.89;10.09;5.51;2.09;0.56
322.5;-284.68;18.94;10.09;5.51;2.05;0.56
322.5;-283.68;19;10.08;5.73;2.01;0.58
322.5;-282.68;19.05;10.07;5.95;2.21;0.6
322.5;-281.68;19.1;10.07;5.95;2.41;0.6
322.5;-280.68;19.15;10.07;5.95;2.41;0.6
322.5;-279.68;19.21;10.07;5.95;2.41;0.6
322.5;-278.68;19.26;10.07;5.95;2.41;0.6
322.5;-277.68;19.31;10.07;5.95;2.39;0.6
322.5;-276.68;19.36;10.07;5.95;2.39;0.6
322.5;-275.68;19.42;10.07;5.95;2.26;0.6
322.5;-274.68;19.47;9.86;6.17;2.28;0.61
322.5;-273.67;19.52;9.66;6.39;2.44;0.62
322.5;-272.67;19.57;9.66;6.39;2.44;0.62
322.5;-271.67;19.63;9.66;6.39;2.44;0.62
322.5;-270.67;19.68;9.66;6.39;2.44;0.62
322.5;-269.67;19.73;9.66;6.39;2.46;0.62
322.5;-268.67;19.78;9.66;6.39;2.49;0.62
322.5;-267.67;19.83;9.66;6.39;2.49;0.62
322.5;-266.67;19.89;9.32;6.61;2.4;0.62
322.5;-265.67;19.94;8.99;6.83;2.32;0.61
322.5;-264.67;19.99;9.05;6.85;2.32;0.62
322.5;-263.67;20.04;9.12;6.86;2.32;0.63
322.5;-262.66;20.1;9.12;6.86;2.32;0.63
322.5;-261.66;20.15;9.12;6.86;2.32;0.63
322.5;-260.66;20.2;9.12;6.86;2.32;0.63
322.5;-259.66;20.25;9.12;6.86;2.32;0.63
322.5;-258.66;20.31;8.66;7.06;2.13;0.61
322.5;-257.66;20.36;8.19;7.26;1.94;0.6
322.5;-256.66;20.41;8.19;7.26;1.94;0.6
322.5;-255.66;20.46;8.19;7.26;1.94;0.6
322.5;-254.66;20.52;8.19;7.26;1.94;0.6
322.5;-253.66;20.57;8.19;7.26;1.94;0.6
322.5;-252.66;20.62;8.19;7.26;1.94;0.6
322.5;-251.65;20.67;8.19;7.26;1.94;0.6
322.5;-250.65;20.73;7.72;7.42;1.94;0.57
322.5;-249.65;20.78;7.24;7.57;1.74;0.55
322.5;-248.65;20.83;7.24;7.57;1.52;0.55
322.5;-247.65;20.88;7.24;7.57;1.52;0.55
322.5;-246.65;20.94;7.24;7.57;1.52;0.55
322.5;-245.65;20.99;7.25;7.6;1.52;0.55
322.5;-244.65;21.04;7.26;7.63;1.52;0.55
322.5;-243.65;21.09;7.26;7.63;1.52;0.55
322.5;-242.65;21.15;6.92;7.72;1.52;0.53
322.5;-241.65;21.2;6.57;7.82;1.3;0.51
322.5;-240.64;21.25;6.57;7.82;1.08;0.51
322.5;-239.64;21.3;6.57;7.82;1.06;0.51
322.5;-238.64;21.36;6.57;7.82;1.05;0.51
322.5;-237.64;21.41;6.57;7.82;1.05;0.51
322.5;-236.64;21.46;6.57;7.82;1.05;0.51
322.5;-235.64;21.51;6.57;7.82;1.05;0.51
322.5;-234.64;21.56;6.54;7.86;1.05;0.51
322.5;-233.64;21.62;6.51;7.89;0.85;0.51
322.5;-232.64;21.67;6.51;7.89;0.65;0.51
322.5;-231.64;21.72;6.51;7.89;0.65;0.51
322.5;-230.64;21.77;6.51;7.89;0.65;0.51
322.5;-229.63;21.83;6.51;7.89;0.65;0.51
322.5;-228.63;21.88;6.51;7.89;0.65;0.51
322.5;-227.63;21.93;6.78;7.85;0.65;0.53
322.5;-226.63;21.98;6.97;7.86;0.65;0.55
322.5;-225.63;22.04;6.89;7.91;0.49;0.55
322.5;-224.63;22.09;6.89;7.91;0.34;0.55
322.5;-223.63;22.14;6.89;7.91;0.34;0.55
322.5;-222.63;22.19;6.89;7.91;0.35;0.55
322.5;-221.63;22.25;6.89;7.91;0.41;0.55
322.5;-220.63;22.3;6.89;7.91;0.39;0.55
322.5;-219.63;22.35;7.24;7.83;0.36;0.57
322.5;-218.63;22.4;7.60;7.75;0.36;0.59
322.5;-217.62;22.46;7.60;7.75;0.32;0.59
322.5;-216.62;22.51;7.60;7.75;0.38;0.59
322.5;-215.62;22.56;7.60;7.75;0.44;0.59
322.5;-214.62;22.61;7.60;7.75;0.44;0.59
322.5;-213.62;22.67;7.60;7.75;0.44;0.59
322.5;-212.62;22.72;7.74;7.71;0.44;0.6
322.5;-211.62;22.77;7.88;7.66;0.48;0.6
322.5;-210.62;22.82;7.88;7.66;0.53;0.6
322.5;-209.62;22.88;7.88;7.66;0.56;0.6
322.5;-208.62;22.93;7.88;7.66;0.6;0.6
322.5;-207.62;22.98;7.78;7.73;0.6;0.6
322.5;-206.61;23.03;7.68;7.8;0.6;0.6
322.5;-205.61;23.09;7.54;7.83;0.6;0.59
322.5;-204.61;23.14;7.40;7.86;0.6;0.58
322.5;-203.61;23.19;7.40;7.86;0.6;0.58
322.5;-202.61;23.24;7.40;7.86;0.61;0.58
322.5;-201.61;23.29;7.40;7.86;0.63;0.58
322.5;-200.61;23.35;7.40;7.86;0.63;0.58
322.5;-199.61;23.4;7.40;7.86;0.63;0.58
322.5;-198.61;23.45;7.12;7.92;0.63;0.56
322.5;-197.61;23.5;6.83;7.99;0.63;0.55
322.5;-196.61;23.56;6.83;7.99;0.63;0.55
322.5;-195.6;23.61;6.83;7.99;0.63;0.55
322.5;-194.6;23.66;6.83;7.99;0.63;0.55
322.5;-193.6;23.71;6.83;7.99;0.63;0.55
322.5;-192.6;23.77;6.54;8.04;0.66;0.53
322.5;-191.6;23.82;6.26;8.1;0.69;0.51
322.5;-190.6;23.87;6.26;8.1;0.69;0.51
322.5;-189.6;23.92;6.26;8.1;0.69;0.51
322.5;-188.6;23.98;6.26;8.1;0.69;0.51
322.5;-187.6;24.03;6.18;8.15;0.69;0.5
322.5;-186.6;24.08;6.11;8.19;0.69;0.5
322.5;-185.6;24.13;5.91;8.23;0.69;0.49
322.5;-184.59;24.19;5.72;8.26;0.69;0.47
322.5;-183.59;24.24;5.72;8.26;0.69;0.47
322.5;-182.59;24.29;5.72;8.26;0.62;0.47
322.5;-181.59;24.34;5.72;8.26;0.56;0.47
322.5;-180.59;24.4;5.72;8.26;0.53;0.47
322.5;-179.59;24.45;5.72;8.26;0.49;0.47
322.5;-178.59;24.5;5.58;8.28;0.49;0.46
322.5;-177.59;24.55;5.44;8.3;0.49;0.45
322.5;-176.59;24.61;5.44;8.3;0.49;0.45
322.5;-175.59;24.66;5.44;8.3;0.49;0.45
322.5;-174.59;24.71;5.44;8.3;0.49;0.45
322.5;-173.58;24.76;5.44;8.3;0.43;0.45
322.5;-172.58;24.82;5.35;8.29;0.48;0.44
322.5;-171.58;24.87;5.26;8.29;0.48;0.44
322.5;-170.58;24.92;5.26;8.29;0.48;0.44
322.5;-169.58;24.97;5.26;8.29;0.48;0.44
322.5;-168.58;25.02;5.22;8.32;0.48;0.43
322.5;-167.58;25.08;5.18;8.35;0.68;0.43
322.5;-166.58;25.13;5.15;8.33;0.88;0.43
322.5;-165.58;25.18;5.12;8.31;0.88;0.43
322.5;-164.58;25.23;5.12;8.31;0.88;0.43
322.5;-163.58;25.29;5.12;8.31;0.88;0.43
322.5;-162.58;25.34;5.12;8.31;1.12;0.43
322.5;-161.57;25.39;5.12;8.31;1.35;0.43
322.5;-160.57;25.44;5.18;8.27;1.35;0.43
322.5;-159.57;25.5;5.25;8.24;1.35;0.43
322.5;-158.57;25.55;5.25;8.24;1.35;0.43
322.5;-157.57;25.6;5.25;8.24;1.58;0.43
322.5;-156.57;25.65;5.25;8.24;1.8;0.43
322.5;-155.57;25.71;5.25;8.24;1.8;0.43
322.5;-154.57;25.76;5.55;8.16;1.8;0.45
322.5;-153.57;25.81;5.85;8.09;1.8;0.47
322.5;-152.57;25.86;5.85;8.09;1.98;0.47
322.5;-151.57;25.92;5.85;8.09;2.18;0.47
322.5;-150.56;25.97;5.85;8.09;2.18;0.47
322.5;-149.56;26.02;6.45;7.98;2.18;0.51
322.5;-148.56;26.07;7.05;7.87;2.18;0.56
322.5;-147.56;26.13;7.05;7.87;2.34;0.56
322.5;-146.56;26.18;7.05;7.87;2.51;0.56
322.5;-145.56;26.23;7.05;7.87;2.51;0.56
322.5;-144.56;26.28;7.05;7.87;2.51;0.56
322.5;-143.56;26.34;7.75;7.67;2.51;0.59
322.5;-142.56;26.39;8.45;7.47;2.62;0.63
322.5;-141.56;26.44;8.45;7.47;2.72;0.63
322.5;-140.56;26.49;8.45;7.47;2.7;0.63
322.5;-139.55;26.55;8.45;7.47;2.7;0.63
322.5;-138.55;26.6;8.98;7.24;2.75;0.65
322.5;-137.55;26.65;9.51;7.01;2.81;0.67
322.5;-136.55;26.7;9.51;7.01;2.81;0.67
322.5;-135.55;26.75;9.51;7.01;2.77;0.67
322.5;-134.55;26.81;9.51;7.01;2.73;0.67
322.5;-133.55;26.86;9.82;6.78;2.73;0.67
322.5;-132.55;26.91;10.12;6.55;2.73;0.66
322.5;-131.55;26.96;10.12;6.55;2.73;0.66
